"","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","aff_yes_no"
"4",0,"male",37,10,"no",3,18,7,4,"No"
"5",0,"female",27,4,"no",4,14,6,4,"No"
"11",0,"female",32,15,"yes",1,12,1,4,"No"
"16",0,"male",57,15,"yes",5,18,6,5,"No"
"23",0,"male",22,0.75,"no",2,17,6,3,"No"
"29",0,"female",32,1.5,"no",2,17,5,5,"No"
"44",0,"female",22,0.75,"no",2,12,1,3,"No"
"45",0,"male",57,15,"yes",2,14,4,4,"No"
"47",0,"female",32,15,"yes",4,16,1,2,"No"
"49",0,"male",22,1.5,"no",4,14,4,5,"No"
"50",0,"male",37,15,"yes",2,20,7,2,"No"
"55",0,"male",27,4,"yes",4,18,6,4,"No"
"64",0,"male",47,15,"yes",5,17,6,4,"No"
"80",0,"female",22,1.5,"no",2,17,5,4,"No"
"86",0,"female",27,4,"no",4,14,5,4,"No"
"93",0,"female",37,15,"yes",1,17,5,5,"No"
"108",0,"female",37,15,"yes",2,18,4,3,"No"
"114",0,"female",22,0.75,"no",3,16,5,4,"No"
"115",0,"female",22,1.5,"no",2,16,5,5,"No"
"116",0,"female",27,10,"yes",2,14,1,5,"No"
"123",0,"female",22,1.5,"no",2,16,5,5,"No"
"127",0,"female",22,1.5,"no",2,16,5,5,"No"
"129",0,"female",27,10,"yes",4,16,5,4,"No"
"134",0,"female",32,10,"yes",3,14,1,5,"No"
"137",0,"male",37,4,"yes",2,20,6,4,"No"
"139",0,"female",22,1.5,"no",2,18,5,5,"No"
"147",0,"female",27,7,"no",4,16,1,5,"No"
"151",0,"male",42,15,"yes",5,20,6,4,"No"
"153",0,"male",27,4,"yes",3,16,5,5,"No"
"155",0,"female",27,4,"yes",3,17,5,4,"No"
"162",0,"male",42,15,"yes",4,20,6,3,"No"
"163",0,"female",22,1.5,"no",3,16,5,5,"No"
"165",0,"male",27,0.417,"no",4,17,6,4,"No"
"168",0,"female",42,15,"yes",5,14,5,4,"No"
"170",0,"male",32,4,"yes",1,18,6,4,"No"
"172",0,"female",22,1.5,"no",4,16,5,3,"No"
"184",0,"female",42,15,"yes",3,12,1,4,"No"
"187",0,"female",22,4,"no",4,17,5,5,"No"
"192",0,"male",22,1.5,"yes",1,14,3,5,"No"
"194",0,"female",22,0.75,"no",3,16,1,5,"No"
"210",0,"male",32,10,"yes",5,20,6,5,"No"
"217",0,"male",52,15,"yes",5,18,6,3,"No"
"220",0,"female",22,0.417,"no",5,14,1,4,"No"
"224",0,"female",27,4,"yes",2,18,6,1,"No"
"227",0,"female",32,7,"yes",5,17,5,3,"No"
"228",0,"male",22,4,"no",3,16,5,5,"No"
"239",0,"female",27,7,"yes",4,18,6,5,"No"
"241",0,"female",42,15,"yes",2,18,5,4,"No"
"245",0,"male",27,1.5,"yes",4,16,3,5,"No"
"249",0,"male",42,15,"yes",2,20,6,4,"No"
"262",0,"female",22,0.75,"no",5,14,3,5,"No"
"265",0,"male",32,7,"yes",2,20,6,4,"No"
"267",0,"male",27,4,"yes",5,20,6,5,"No"
"269",0,"male",27,10,"yes",4,20,6,4,"No"
"271",0,"male",22,4,"no",1,18,5,5,"No"
"277",0,"female",37,15,"yes",4,14,3,1,"No"
"290",0,"male",22,1.5,"yes",5,16,4,4,"No"
"292",0,"female",37,15,"yes",4,17,1,5,"No"
"293",0,"female",27,0.75,"no",4,17,5,4,"No"
"295",0,"male",32,10,"yes",4,20,6,4,"No"
"299",0,"female",47,15,"yes",5,14,7,2,"No"
"320",0,"male",37,10,"yes",3,20,6,4,"No"
"321",0,"female",22,0.75,"no",2,16,5,5,"No"
"324",0,"male",27,4,"no",2,18,4,5,"No"
"334",0,"male",32,7,"no",4,20,6,4,"No"
"351",0,"male",42,15,"yes",2,17,3,5,"No"
"355",0,"male",37,10,"yes",4,20,6,4,"No"
"361",0,"female",47,15,"yes",3,17,6,5,"No"
"362",0,"female",22,1.5,"no",5,16,5,5,"No"
"366",0,"female",27,1.5,"no",2,16,6,4,"No"
"370",0,"female",27,4,"no",3,17,5,5,"No"
"374",0,"female",32,10,"yes",5,14,4,5,"No"
"378",0,"female",22,0.125,"no",2,12,5,5,"No"
"381",0,"male",47,15,"yes",4,14,4,3,"No"
"382",0,"male",32,15,"yes",1,14,5,5,"No"
"383",0,"male",27,7,"yes",4,16,5,5,"No"
"384",0,"female",22,1.5,"yes",3,16,5,5,"No"
"400",0,"male",27,4,"yes",3,17,6,5,"No"
"403",0,"female",22,1.5,"no",3,16,5,5,"No"
"409",0,"male",57,15,"yes",2,14,7,2,"No"
"412",0,"male",17.5,1.5,"yes",3,18,6,5,"No"
"413",0,"male",57,15,"yes",4,20,6,5,"No"
"416",0,"female",22,0.75,"no",2,16,3,4,"No"
"418",0,"male",42,4,"no",4,17,3,3,"No"
"422",0,"female",22,1.5,"yes",4,12,1,5,"No"
"435",0,"female",22,0.417,"no",1,17,6,4,"No"
"439",0,"female",32,15,"yes",4,17,5,5,"No"
"445",0,"female",27,1.5,"no",3,18,5,2,"No"
"447",0,"female",22,1.5,"yes",3,14,1,5,"No"
"448",0,"female",37,15,"yes",3,14,1,4,"No"
"449",0,"female",32,15,"yes",4,14,3,4,"No"
"478",0,"male",37,10,"yes",2,14,5,3,"No"
"482",0,"male",37,10,"yes",4,16,5,4,"No"
"486",0,"male",57,15,"yes",5,20,5,3,"No"
"489",0,"male",27,0.417,"no",1,16,3,4,"No"
"490",0,"female",42,15,"yes",5,14,1,5,"No"
"491",0,"male",57,15,"yes",3,16,6,1,"No"
"492",0,"male",37,10,"yes",1,16,6,4,"No"
"503",0,"male",37,15,"yes",3,17,5,5,"No"
"508",0,"male",37,15,"yes",4,20,6,5,"No"
"509",0,"female",27,10,"yes",5,14,1,5,"No"
"512",0,"male",37,10,"yes",2,18,6,4,"No"
"515",0,"female",22,0.125,"no",4,12,4,5,"No"
"517",0,"male",57,15,"yes",5,20,6,5,"No"
"532",0,"female",37,15,"yes",4,18,6,4,"No"
"533",0,"male",22,4,"yes",4,14,6,4,"No"
"535",0,"male",27,7,"yes",4,18,5,4,"No"
"537",0,"male",57,15,"yes",4,20,5,4,"No"
"538",0,"male",32,15,"yes",3,14,6,3,"No"
"543",0,"female",22,1.5,"no",2,14,5,4,"No"
"547",0,"female",32,7,"yes",4,17,1,5,"No"
"550",0,"female",37,15,"yes",4,17,6,5,"No"
"558",0,"female",32,1.5,"no",5,18,5,5,"No"
"571",0,"male",42,10,"yes",5,20,7,4,"No"
"578",0,"female",27,7,"no",3,16,5,4,"No"
"583",0,"male",37,15,"no",4,20,6,5,"No"
"586",0,"male",37,15,"yes",4,14,3,2,"No"
"594",0,"male",32,10,"no",5,18,6,4,"No"
"597",0,"female",22,0.75,"no",4,16,1,5,"No"
"602",0,"female",27,7,"yes",4,12,2,4,"No"
"603",0,"female",27,7,"yes",2,16,2,5,"No"
"604",0,"female",42,15,"yes",5,18,5,4,"No"
"612",0,"male",42,15,"yes",4,17,5,3,"No"
"613",0,"female",27,7,"yes",2,16,1,2,"No"
"621",0,"female",22,1.5,"no",3,16,5,5,"No"
"627",0,"male",37,15,"yes",5,20,6,5,"No"
"630",0,"female",22,0.125,"no",2,14,4,5,"No"
"631",0,"male",27,1.5,"no",4,16,5,5,"No"
"632",0,"male",32,1.5,"no",2,18,6,5,"No"
"639",0,"male",27,1.5,"no",2,17,6,5,"No"
"645",0,"female",27,10,"yes",4,16,1,3,"No"
"647",0,"male",42,15,"yes",4,18,6,5,"No"
"648",0,"female",27,1.5,"no",2,16,6,5,"No"
"651",0,"male",27,4,"no",2,18,6,3,"No"
"655",0,"female",32,10,"yes",3,14,5,3,"No"
"667",0,"female",32,15,"yes",3,18,5,4,"No"
"670",0,"female",22,0.75,"no",2,18,6,5,"No"
"671",0,"female",37,15,"yes",2,16,1,4,"No"
"673",0,"male",27,4,"yes",4,20,5,5,"No"
"701",0,"male",27,4,"no",1,20,5,4,"No"
"705",0,"female",27,10,"yes",2,12,1,4,"No"
"706",0,"female",32,15,"yes",5,18,6,4,"No"
"709",0,"male",27,7,"yes",5,12,5,3,"No"
"717",0,"male",52,15,"yes",2,18,5,4,"No"
"719",0,"male",27,4,"no",3,20,6,3,"No"
"723",0,"male",37,4,"yes",1,18,5,4,"No"
"724",0,"male",27,4,"yes",4,14,5,4,"No"
"726",0,"female",52,15,"yes",5,12,1,3,"No"
"734",0,"female",57,15,"yes",4,16,6,4,"No"
"735",0,"male",27,7,"yes",1,16,5,4,"No"
"736",0,"male",37,7,"yes",4,20,6,3,"No"
"737",0,"male",22,0.75,"no",2,14,4,3,"No"
"739",0,"male",32,4,"yes",2,18,5,3,"No"
"743",0,"male",37,15,"yes",4,20,6,3,"No"
"745",0,"male",22,0.75,"yes",2,14,4,3,"No"
"747",0,"male",42,15,"yes",4,20,6,3,"No"
"751",0,"female",52,15,"yes",5,17,1,1,"No"
"752",0,"female",37,15,"yes",4,14,1,2,"No"
"754",0,"male",27,7,"yes",4,14,5,3,"No"
"760",0,"male",32,4,"yes",2,16,5,5,"No"
"763",0,"female",27,4,"yes",2,18,6,5,"No"
"774",0,"female",27,4,"yes",2,18,5,5,"No"
"776",0,"male",37,15,"yes",5,18,6,5,"No"
"779",0,"female",47,15,"yes",5,12,5,4,"No"
"784",0,"female",32,10,"yes",3,17,1,4,"No"
"788",0,"female",27,1.5,"yes",4,17,1,2,"No"
"794",0,"female",57,15,"yes",2,18,5,2,"No"
"795",0,"female",22,1.5,"no",4,14,5,4,"No"
"798",0,"male",42,15,"yes",3,14,3,4,"No"
"800",0,"male",57,15,"yes",4,9,2,2,"No"
"803",0,"male",57,15,"yes",4,20,6,5,"No"
"807",0,"female",22,0.125,"no",4,14,4,5,"No"
"812",0,"female",32,10,"yes",4,14,1,5,"No"
"820",0,"female",42,15,"yes",3,18,5,4,"No"
"823",0,"female",27,1.5,"no",2,18,6,5,"No"
"830",0,"male",32,0.125,"yes",2,18,5,2,"No"
"843",0,"female",27,4,"no",3,16,5,4,"No"
"848",0,"female",27,10,"yes",2,16,1,4,"No"
"851",0,"female",32,7,"yes",4,16,1,3,"No"
"854",0,"female",37,15,"yes",4,14,5,4,"No"
"856",0,"female",42,15,"yes",5,17,6,2,"No"
"857",0,"male",32,1.5,"yes",4,14,6,5,"No"
"859",0,"female",32,4,"yes",3,17,5,3,"No"
"863",0,"female",37,7,"no",4,18,5,5,"No"
"865",0,"female",22,0.417,"yes",3,14,3,5,"No"
"867",0,"female",27,7,"yes",4,14,1,5,"No"
"870",0,"male",27,0.75,"no",3,16,5,5,"No"
"873",0,"male",27,4,"yes",2,20,5,5,"No"
"875",0,"male",32,10,"yes",4,16,4,5,"No"
"876",0,"male",32,15,"yes",1,14,5,5,"No"
"877",0,"male",22,0.75,"no",3,17,4,5,"No"
"880",0,"female",27,7,"yes",4,17,1,4,"No"
"903",0,"male",27,0.417,"yes",4,20,5,4,"No"
"904",0,"male",37,15,"yes",4,20,5,4,"No"
"905",0,"female",37,15,"yes",2,14,1,3,"No"
"908",0,"male",22,4,"yes",1,18,5,4,"No"
"909",0,"male",37,15,"yes",4,17,5,3,"No"
"910",0,"female",22,1.5,"no",2,14,4,5,"No"
"912",0,"male",52,15,"yes",4,14,6,2,"No"
"914",0,"female",22,1.5,"no",4,17,5,5,"No"
"915",0,"male",32,4,"yes",5,14,3,5,"No"
"916",0,"male",32,4,"yes",2,14,3,5,"No"
"920",0,"female",22,1.5,"no",3,16,6,5,"No"
"921",0,"male",27,0.75,"no",2,18,3,3,"No"
"925",0,"female",22,7,"yes",2,14,5,2,"No"
"926",0,"female",27,0.75,"no",2,17,5,3,"No"
"929",0,"female",37,15,"yes",4,12,1,2,"No"
"931",0,"female",22,1.5,"no",1,14,1,5,"No"
"945",0,"female",37,10,"no",2,12,4,4,"No"
"947",0,"female",37,15,"yes",4,18,5,3,"No"
"949",0,"female",42,15,"yes",3,12,3,3,"No"
"950",0,"male",22,4,"no",2,18,5,5,"No"
"961",0,"male",52,7,"yes",2,20,6,2,"No"
"965",0,"male",27,0.75,"no",2,17,5,5,"No"
"966",0,"female",27,4,"no",2,17,4,5,"No"
"967",0,"male",42,1.5,"no",5,20,6,5,"No"
"987",0,"male",22,1.5,"no",4,17,6,5,"No"
"990",0,"male",22,4,"no",4,17,5,3,"No"
"992",0,"female",22,4,"yes",1,14,5,4,"No"
"995",0,"male",37,15,"yes",5,20,4,5,"No"
"1009",0,"female",37,10,"yes",3,16,6,3,"No"
"1021",0,"male",42,15,"yes",4,17,6,5,"No"
"1026",0,"female",47,15,"yes",4,17,5,5,"No"
"1027",0,"male",22,1.5,"no",4,16,5,4,"No"
"1030",0,"female",32,10,"yes",3,12,1,4,"No"
"1031",0,"female",22,7,"yes",1,14,3,5,"No"
"1034",0,"female",32,10,"yes",4,17,5,4,"No"
"1037",0,"male",27,1.5,"yes",2,16,2,4,"No"
"1038",0,"male",37,15,"yes",4,14,5,5,"No"
"1039",0,"male",42,4,"yes",3,14,4,5,"No"
"1045",0,"female",37,15,"yes",5,14,5,4,"No"
"1046",0,"female",32,7,"yes",4,17,5,5,"No"
"1054",0,"female",42,15,"yes",4,18,6,5,"No"
"1059",0,"male",27,4,"no",4,18,6,4,"No"
"1063",0,"male",22,0.75,"no",4,18,6,5,"No"
"1068",0,"male",27,4,"yes",4,14,5,3,"No"
"1070",0,"female",22,0.75,"no",5,18,1,5,"No"
"1072",0,"female",52,15,"yes",5,9,5,5,"No"
"1073",0,"male",32,10,"yes",3,14,5,5,"No"
"1077",0,"female",37,15,"yes",4,16,4,4,"No"
"1081",0,"male",32,7,"yes",2,20,5,4,"No"
"1083",0,"female",42,15,"yes",3,18,1,4,"No"
"1084",0,"male",32,15,"yes",1,16,5,5,"No"
"1086",0,"male",27,4,"yes",3,18,5,5,"No"
"1087",0,"female",32,15,"yes",4,12,3,4,"No"
"1089",0,"male",22,0.75,"yes",3,14,2,4,"No"
"1096",0,"female",22,1.5,"no",3,16,5,3,"No"
"1102",0,"female",42,15,"yes",4,14,3,5,"No"
"1103",0,"female",52,15,"yes",3,16,5,4,"No"
"1107",0,"male",37,15,"yes",5,20,6,4,"No"
"1109",0,"female",47,15,"yes",4,12,2,3,"No"
"1115",0,"male",57,15,"yes",2,20,6,4,"No"
"1119",0,"male",32,7,"yes",4,17,5,5,"No"
"1124",0,"female",27,7,"yes",4,17,1,4,"No"
"1126",0,"male",22,1.5,"no",1,18,6,5,"No"
"1128",0,"female",22,4,"yes",3,9,1,4,"No"
"1129",0,"female",22,1.5,"no",2,14,1,5,"No"
"1130",0,"male",42,15,"yes",2,20,6,4,"No"
"1133",0,"male",57,15,"yes",4,9,2,4,"No"
"1140",0,"female",27,7,"yes",2,18,1,5,"No"
"1143",0,"female",22,4,"yes",3,14,1,5,"No"
"1146",0,"male",37,15,"yes",4,14,5,3,"No"
"1153",0,"male",32,7,"yes",1,18,6,4,"No"
"1156",0,"female",22,1.5,"no",2,14,5,5,"No"
"1157",0,"female",22,1.5,"yes",3,12,1,3,"No"
"1158",0,"male",52,15,"yes",2,14,5,5,"No"
"1160",0,"female",37,15,"yes",2,14,1,1,"No"
"1161",0,"female",32,10,"yes",2,14,5,5,"No"
"1166",0,"male",42,15,"yes",4,20,4,5,"No"
"1177",0,"female",27,4,"yes",3,18,4,5,"No"
"1178",0,"male",37,15,"yes",4,20,6,5,"No"
"1180",0,"male",27,1.5,"no",3,18,5,5,"No"
"1187",0,"female",22,0.125,"no",2,16,6,3,"No"
"1191",0,"male",32,10,"yes",2,20,6,3,"No"
"1195",0,"female",27,4,"no",4,18,5,4,"No"
"1207",0,"female",27,7,"yes",2,12,5,1,"No"
"1208",0,"male",32,4,"yes",5,18,6,3,"No"
"1209",0,"female",37,15,"yes",2,17,5,5,"No"
"1211",0,"male",47,15,"no",4,20,6,4,"No"
"1215",0,"male",27,1.5,"no",1,18,5,5,"No"
"1221",0,"male",37,15,"yes",4,20,6,4,"No"
"1226",0,"female",32,15,"yes",4,18,1,4,"No"
"1229",0,"female",32,7,"yes",4,17,5,4,"No"
"1231",0,"female",42,15,"yes",3,14,1,3,"No"
"1234",0,"female",27,7,"yes",3,16,1,4,"No"
"1235",0,"male",27,1.5,"no",3,16,4,2,"No"
"1242",0,"male",22,1.5,"no",3,16,3,5,"No"
"1245",0,"male",27,4,"yes",3,16,4,2,"No"
"1260",0,"female",27,7,"yes",3,12,1,2,"No"
"1266",0,"female",37,15,"yes",2,18,5,4,"No"
"1271",0,"female",37,7,"yes",3,14,4,4,"No"
"1273",0,"male",22,1.5,"no",2,16,5,5,"No"
"1276",0,"male",37,15,"yes",5,20,5,4,"No"
"1280",0,"female",22,1.5,"no",4,16,5,3,"No"
"1282",0,"female",32,10,"yes",4,16,1,5,"No"
"1285",0,"male",27,4,"no",2,17,5,3,"No"
"1295",0,"female",22,0.417,"no",4,14,5,5,"No"
"1298",0,"female",27,4,"no",2,18,5,5,"No"
"1299",0,"male",37,15,"yes",4,18,5,3,"No"
"1304",0,"male",37,10,"yes",5,20,7,4,"No"
"1305",0,"female",27,7,"yes",2,14,4,2,"No"
"1311",0,"male",32,4,"yes",2,16,5,5,"No"
