Years_only,Month_series,milk_prod,Month_^2,milk_prod_log,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
1962,1,589,1,2.770115295,1,0,0,0,0,0,0,0,0,0,0,0
1962,2,561,4,2.748962861,0,1,0,0,0,0,0,0,0,0,0,0
1962,3,640,9,2.806179974,0,0,1,0,0,0,0,0,0,0,0,0
1962,4,656,16,2.816903839,0,0,0,1,0,0,0,0,0,0,0,0
1962,5,727,25,2.861534411,0,0,0,0,1,0,0,0,0,0,0,0
1962,6,697,36,2.843232778,0,0,0,0,0,1,0,0,0,0,0,0
1962,7,640,49,2.806179974,0,0,0,0,0,0,1,0,0,0,0,0
1962,8,599,64,2.777426822,0,0,0,0,0,0,0,1,0,0,0,0
1962,9,568,81,2.754348336,0,0,0,0,0,0,0,0,1,0,0,0
1962,10,577,100,2.761175813,0,0,0,0,0,0,0,0,0,1,0,0
1962,11,553,121,2.742725131,0,0,0,0,0,0,0,0,0,0,1,
1962,12,582,144,2.764922985,0,0,0,0,0,0,0,0,0,0,0,1
1963,1,600,1,2.77815125,1,0,0,0,0,0,0,0,0,0,0,0
1963,2,566,4,2.752816431,0,1,0,0,0,0,0,0,0,0,0,0
1963,3,653,9,2.814913181,0,0,1,0,0,0,0,0,0,0,0,0
1963,4,673,16,2.828015064,0,0,0,1,0,0,0,0,0,0,0,0
1963,5,742,25,2.870403905,0,0,0,0,1,0,0,0,0,0,0,0
1963,6,716,36,2.854913022,0,0,0,0,0,1,0,0,0,0,0,0
1963,7,660,49,2.819543936,0,0,0,0,0,0,1,0,0,0,0,0
1963,8,617,64,2.790285164,0,0,0,0,0,0,0,1,0,0,0,0
1963,9,583,81,2.765668555,0,0,0,0,0,0,0,0,1,0,0,0
1963,10,587,100,2.768638101,0,0,0,0,0,0,0,0,0,1,0,0
1963,11,565,121,2.752048448,0,0,0,0,0,0,0,0,0,0,1,
1963,12,598,144,2.776701184,0,0,0,0,0,0,0,0,0,0,0,1
1964,1,628,1,2.797959644,1,0,0,0,0,0,0,0,0,0,0,0
1964,2,618,4,2.790988475,0,1,0,0,0,0,0,0,0,0,0,0
1964,3,688,9,2.837588438,0,0,1,0,0,0,0,0,0,0,0,0
1964,4,705,16,2.848189117,0,0,0,1,0,0,0,0,0,0,0,0
1964,5,770,25,2.886490725,0,0,0,0,1,0,0,0,0,0,0,0
1964,6,736,36,2.866877814,0,0,0,0,0,1,0,0,0,0,0,0
1964,7,678,49,2.831229694,0,0,0,0,0,0,1,0,0,0,0,0
1964,8,639,64,2.805500858,0,0,0,0,0,0,0,1,0,0,0,0
1964,9,604,81,2.781036939,0,0,0,0,0,0,0,0,1,0,0,0
1964,10,611,100,2.78604121,0,0,0,0,0,0,0,0,0,1,0,0
1964,11,594,121,2.773786445,0,0,0,0,0,0,0,0,0,0,1,
1964,12,634,144,2.802089258,0,0,0,0,0,0,0,0,0,0,0,1
1965,1,658,1,2.818225894,1,0,0,0,0,0,0,0,0,0,0,0
1965,2,622,4,2.793790385,0,1,0,0,0,0,0,0,0,0,0,0
1965,3,709,9,2.850646235,0,0,1,0,0,0,0,0,0,0,0,0
1965,4,722,16,2.858537198,0,0,0,1,0,0,0,0,0,0,0,0
1965,5,782,25,2.893206753,0,0,0,0,1,0,0,0,0,0,0,0
1965,6,756,36,2.878521796,0,0,0,0,0,1,0,0,0,0,0,0
1965,7,702,49,2.846337112,0,0,0,0,0,0,1,0,0,0,0,0
1965,8,653,64,2.814913181,0,0,0,0,0,0,0,1,0,0,0,0
1965,9,615,81,2.788875116,0,0,0,0,0,0,0,0,1,0,0,0
1965,10,621,100,2.7930916,0,0,0,0,0,0,0,0,0,1,0,0
1965,11,602,121,2.779596491,0,0,0,0,0,0,0,0,0,0,1,
1965,12,635,144,2.802773725,0,0,0,0,0,0,0,0,0,0,0,1
1966,1,677,1,2.830588669,1,0,0,0,0,0,0,0,0,0,0,0
1966,2,635,4,2.802773725,0,1,0,0,0,0,0,0,0,0,0,0
1966,3,736,9,2.866877814,0,0,1,0,0,0,0,0,0,0,0,0
1966,4,755,16,2.877946952,0,0,0,1,0,0,0,0,0,0,0,0
1966,5,811,25,2.909020854,0,0,0,0,1,0,0,0,0,0,0,0
1966,6,798,36,2.902002891,0,0,0,0,0,1,0,0,0,0,0,0
1966,7,735,49,2.866287339,0,0,0,0,0,0,1,0,0,0,0,0
1966,8,697,64,2.843232778,0,0,0,0,0,0,0,1,0,0,0,0
1966,9,661,81,2.820201459,0,0,0,0,0,0,0,0,1,0,0,0
1966,10,667,100,2.824125834,0,0,0,0,0,0,0,0,0,1,0,0
1966,11,645,121,2.809559715,0,0,0,0,0,0,0,0,0,0,1,
1966,12,688,144,2.837588438,0,0,0,0,0,0,0,0,0,0,0,1
1967,1,713,1,2.85308953,1,0,0,0,0,0,0,0,0,0,0,0
1967,2,667,4,2.824125834,0,1,0,0,0,0,0,0,0,0,0,0
1967,3,762,9,2.881954971,0,0,1,0,0,0,0,0,0,0,0,0
1967,4,784,16,2.894316063,0,0,0,1,0,0,0,0,0,0,0,0
1967,5,837,25,2.922725458,0,0,0,0,1,0,0,0,0,0,0,0
1967,6,817,36,2.912222057,0,0,0,0,0,1,0,0,0,0,0,0
1967,7,767,49,2.884795364,0,0,0,0,0,0,1,0,0,0,0,0
1967,8,722,64,2.858537198,0,0,0,0,0,0,0,1,0,0,0,0
1967,9,681,81,2.833147112,0,0,0,0,0,0,0,0,1,0,0,0
1967,10,687,100,2.836956737,0,0,0,0,0,0,0,0,0,1,0,0
1967,11,660,121,2.819543936,0,0,0,0,0,0,0,0,0,0,1,
1967,12,698,144,2.843855423,0,0,0,0,0,0,0,0,0,0,0,1
1968,1,717,1,2.855519156,1,0,0,0,0,0,0,0,0,0,0,0
1968,2,696,4,2.84260924,0,1,0,0,0,0,0,0,0,0,0,0
1968,3,775,9,2.889301703,0,0,1,0,0,0,0,0,0,0,0,0
1968,4,796,16,2.900913068,0,0,0,1,0,0,0,0,0,0,0,0
1968,5,858,25,2.933487288,0,0,0,0,1,0,0,0,0,0,0,0
1968,6,826,36,2.916980047,0,0,0,0,0,1,0,0,0,0,0,0
1968,7,783,49,2.893761762,0,0,0,0,0,0,1,0,0,0,0,0
1968,8,740,64,2.86923172,0,0,0,0,0,0,0,1,0,0,0,0
1968,9,701,81,2.845718018,0,0,0,0,0,0,0,0,1,0,0,0
1968,10,706,100,2.848804701,0,0,0,0,0,0,0,0,0,1,0,0
1968,11,677,121,2.830588669,0,0,0,0,0,0,0,0,0,0,1,
1968,12,711,144,2.851869601,0,0,0,0,0,0,0,0,0,0,0,1
1969,1,734,1,2.86569606,1,0,0,0,0,0,0,0,0,0,0,0
1969,2,690,4,2.838849091,0,1,0,0,0,0,0,0,0,0,0,0
1969,3,785,9,2.894869657,0,0,1,0,0,0,0,0,0,0,0,0
1969,4,805,16,2.90579588,0,0,0,1,0,0,0,0,0,0,0,0
1969,5,871,25,2.940018155,0,0,0,0,1,0,0,0,0,0,0,0
1969,6,845,36,2.926856709,0,0,0,0,0,1,0,0,0,0,0,0
1969,7,801,49,2.903632516,0,0,0,0,0,0,1,0,0,0,0,0
1969,8,764,64,2.883093359,0,0,0,0,0,0,0,1,0,0,0,0
1969,9,725,81,2.860338007,0,0,0,0,0,0,0,0,1,0,0,0
1969,10,723,100,2.859138297,0,0,0,0,0,0,0,0,0,1,0,0
1969,11,690,121,2.838849091,0,0,0,0,0,0,0,0,0,0,1,
1969,12,734,144,2.86569606,0,0,0,0,0,0,0,0,0,0,0,1
1970,1,750,1,2.875061263,1,0,0,0,0,0,0,0,0,0,0,0
1970,2,707,4,2.849419414,0,1,0,0,0,0,0,0,0,0,0,0
1970,3,807,9,2.906873535,0,0,1,0,0,0,0,0,0,0,0,0
1970,4,824,16,2.915927212,0,0,0,1,0,0,0,0,0,0,0,0
1970,5,886,25,2.947433722,0,0,0,0,1,0,0,0,0,0,0,0
1970,6,859,36,2.933993164,0,0,0,0,0,1,0,0,0,0,0,0
1970,7,819,49,2.913283902,0,0,0,0,0,0,1,0,0,0,0,0
1970,8,783,64,2.893761762,0,0,0,0,0,0,0,1,0,0,0,0
1970,9,740,81,2.86923172,0,0,0,0,0,0,0,0,1,0,0,0
1970,10,747,100,2.873320602,0,0,0,0,0,0,0,0,0,1,0,0
1970,11,711,121,2.851869601,0,0,0,0,0,0,0,0,0,0,1,
1970,12,751,144,2.875639937,0,0,0,0,0,0,0,0,0,0,0,1
1971,1,804,1,2.905256049,1,0,0,0,0,0,0,0,0,0,0,0
1971,2,756,4,2.878521796,0,1,0,0,0,0,0,0,0,0,0,0
1971,3,860,9,2.934498451,0,0,1,0,0,0,0,0,0,0,0,0
1971,4,878,16,2.943494516,0,0,0,1,0,0,0,0,0,0,0,0
1971,5,942,25,2.974050903,0,0,0,0,1,0,0,0,0,0,0,0
1971,6,913,36,2.960470778,0,0,0,0,0,1,0,0,0,0,0,0
1971,7,869,49,2.939019776,0,0,0,0,0,0,1,0,0,0,0,0
1971,8,834,64,2.921166051,0,0,0,0,0,0,0,1,0,0,0,0
1971,9,790,81,2.897627091,0,0,0,0,0,0,0,0,1,0,0,0
1971,10,800,100,2.903089987,0,0,0,0,0,0,0,0,0,1,0,0
1971,11,763,121,2.882524538,0,0,0,0,0,0,0,0,0,0,1,
1971,12,800,144,2.903089987,0,0,0,0,0,0,0,0,0,0,0,1
1972,1,826,1,2.916980047,1,0,0,0,0,0,0,0,0,0,0,0
1972,2,799,4,2.902546779,0,1,0,0,0,0,0,0,0,0,0,0
1972,3,890,9,2.949390007,0,0,1,0,0,0,0,0,0,0,0,0
1972,4,900,16,2.954242509,0,0,0,1,0,0,0,0,0,0,0,0
1972,5,961,25,2.982723388,0,0,0,0,1,0,0,0,0,0,0,0
1972,6,935,36,2.970811611,0,0,0,0,0,1,0,0,0,0,0,0
1972,7,894,49,2.951337519,0,0,0,0,0,0,1,0,0,0,0,0
1972,8,855,64,2.931966115,0,0,0,0,0,0,0,1,0,0,0,0
1972,9,809,81,2.907948522,0,0,0,0,0,0,0,0,1,0,0,0
1972,10,810,100,2.908485019,0,0,0,0,0,0,0,0,0,1,0,0
1972,11,766,121,2.88422877,0,0,0,0,0,0,0,0,0,0,1,
1972,12,805,144,2.90579588,0,0,0,0,0,0,0,0,0,0,0,1
1973,1,821,1,2.914343157,1,0,0,0,0,0,0,0,0,0,0,0
1973,2,773,4,2.888179494,0,1,0,0,0,0,0,0,0,0,0,0
1973,3,883,9,2.945960704,0,0,1,0,0,0,0,0,0,0,0,0
1973,4,898,16,2.953276337,0,0,0,1,0,0,0,0,0,0,0,0
1973,5,957,25,2.980911938,0,0,0,0,1,0,0,0,0,0,0,0
1973,6,924,36,2.965671971,0,0,0,0,0,1,0,0,0,0,0,0
1973,7,881,49,2.944975908,0,0,0,0,0,0,1,0,0,0,0,0
1973,8,837,64,2.922725458,0,0,0,0,0,0,0,1,0,0,0,0
1973,9,784,81,2.894316063,0,0,0,0,0,0,0,0,1,0,0,0
1973,10,791,100,2.898176483,0,0,0,0,0,0,0,0,0,1,0,0
1973,11,760,121,2.880813592,0,0,0,0,0,0,0,0,0,0,1,
1973,12,802,144,2.904174368,0,0,0,0,0,0,0,0,0,0,0,1
1974,1,828,1,2.918030337,1,0,0,0,0,0,0,0,0,0,0,0
1974,2,778,4,2.890979597,0,1,0,0,0,0,0,0,0,0,0,0
1974,3,889,9,2.948901761,0,0,1,0,0,0,0,0,0,0,0,0
1974,4,902,16,2.955206538,0,0,0,1,0,0,0,0,0,0,0,0
1974,5,969,25,2.986323777,0,0,0,0,1,0,0,0,0,0,0,0
1974,6,947,36,2.976349979,0,0,0,0,0,1,0,0,0,0,0,0
1974,7,908,49,2.958085849,0,0,0,0,0,0,1,0,0,0,0,0
1974,8,867,64,2.938019097,0,0,0,0,0,0,0,1,0,0,0,0
1974,9,815,81,2.911157609,0,0,0,0,0,0,0,0,1,0,0,0
1974,10,812,100,2.909556029,0,0,0,0,0,0,0,0,0,1,0,0
1974,11,773,121,2.888179494,0,0,0,0,0,0,0,0,0,0,1,
1974,12,813,144,2.910090546,0,0,0,0,0,0,0,0,0,0,0,1
1975,1,834,1,2.921166051,1,0,0,0,0,0,0,0,0,0,0,0
1975,2,782,4,2.893206753,0,1,0,0,0,0,0,0,0,0,0,0
1975,3,892,9,2.950364854,0,0,1,0,0,0,0,0,0,0,0,0
1975,4,903,16,2.95568775,0,0,0,1,0,0,0,0,0,0,0,0
1975,5,966,25,2.984977126,0,0,0,0,1,0,0,0,0,0,0,0
1975,6,937,36,2.971739591,0,0,0,0,0,1,0,0,0,0,0,0
1975,7,896,49,2.95230801,0,0,0,0,0,0,1,0,0,0,0,0
1975,8,858,64,2.933487288,0,0,0,0,0,0,0,1,0,0,0,0
1975,9,817,81,2.912222057,0,0,0,0,0,0,0,0,1,0,0,0
1975,10,827,100,2.91750551,0,0,0,0,0,0,0,0,0,1,0,0
1975,11,797,121,2.901458321,0,0,0,0,0,0,0,0,0,0,1,
1975,12,843,144,2.925827575,0,0,0,0,0,0,0,0,0,0,0,1
