Month_series,milk_prod,Month_^2,milk_prod_log,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
1,589,1,2.770115295,1,0,0,0,0,0,0,0,0,0,0,0
2,561,4,2.748962861,0,1,0,0,0,0,0,0,0,0,0,0
3,640,9,2.806179974,0,0,1,0,0,0,0,0,0,0,0,0
4,656,16,2.816903839,0,0,0,1,0,0,0,0,0,0,0,0
5,727,25,2.861534411,0,0,0,0,1,0,0,0,0,0,0,0
6,697,36,2.843232778,0,0,0,0,0,1,0,0,0,0,0,0
7,640,49,2.806179974,0,0,0,0,0,0,1,0,0,0,0,0
8,599,64,2.777426822,0,0,0,0,0,0,0,1,0,0,0,0
9,568,81,2.754348336,0,0,0,0,0,0,0,0,1,0,0,0
10,577,100,2.761175813,0,0,0,0,0,0,0,0,0,1,0,0
11,553,121,2.742725131,0,0,0,0,0,0,0,0,0,0,1,0
12,582,144,2.764922985,0,0,0,0,0,0,0,0,0,0,0,1
13,600,169,2.77815125,1,0,0,0,0,0,0,0,0,0,0,0
14,566,196,2.752816431,0,1,0,0,0,0,0,0,0,0,0,0
15,653,225,2.814913181,0,0,1,0,0,0,0,0,0,0,0,0
16,673,256,2.828015064,0,0,0,1,0,0,0,0,0,0,0,0
17,742,289,2.870403905,0,0,0,0,1,0,0,0,0,0,0,0
18,716,324,2.854913022,0,0,0,0,0,1,0,0,0,0,0,0
19,660,361,2.819543936,0,0,0,0,0,0,1,0,0,0,0,0
20,617,400,2.790285164,0,0,0,0,0,0,0,1,0,0,0,0
21,583,441,2.765668555,0,0,0,0,0,0,0,0,1,0,0,0
22,587,484,2.768638101,0,0,0,0,0,0,0,0,0,1,0,0
23,565,529,2.752048448,0,0,0,0,0,0,0,0,0,0,1,0
24,598,576,2.776701184,0,0,0,0,0,0,0,0,0,0,0,1
25,628,625,2.797959644,1,0,0,0,0,0,0,0,0,0,0,0
26,618,676,2.790988475,0,1,0,0,0,0,0,0,0,0,0,0
27,688,729,2.837588438,0,0,1,0,0,0,0,0,0,0,0,0
28,705,784,2.848189117,0,0,0,1,0,0,0,0,0,0,0,0
29,770,841,2.886490725,0,0,0,0,1,0,0,0,0,0,0,0
30,736,900,2.866877814,0,0,0,0,0,1,0,0,0,0,0,0
31,678,961,2.831229694,0,0,0,0,0,0,1,0,0,0,0,0
32,639,1024,2.805500858,0,0,0,0,0,0,0,1,0,0,0,0
33,604,1089,2.781036939,0,0,0,0,0,0,0,0,1,0,0,0
34,611,1156,2.78604121,0,0,0,0,0,0,0,0,0,1,0,0
35,594,1225,2.773786445,0,0,0,0,0,0,0,0,0,0,1,0
36,634,1296,2.802089258,0,0,0,0,0,0,0,0,0,0,0,1
37,658,1369,2.818225894,1,0,0,0,0,0,0,0,0,0,0,0
38,622,1444,2.793790385,0,1,0,0,0,0,0,0,0,0,0,0
39,709,1521,2.850646235,0,0,1,0,0,0,0,0,0,0,0,0
40,722,1600,2.858537198,0,0,0,1,0,0,0,0,0,0,0,0
41,782,1681,2.893206753,0,0,0,0,1,0,0,0,0,0,0,0
42,756,1764,2.878521796,0,0,0,0,0,1,0,0,0,0,0,0
43,702,1849,2.846337112,0,0,0,0,0,0,1,0,0,0,0,0
44,653,1936,2.814913181,0,0,0,0,0,0,0,1,0,0,0,0
45,615,2025,2.788875116,0,0,0,0,0,0,0,0,1,0,0,0
46,621,2116,2.7930916,0,0,0,0,0,0,0,0,0,1,0,0
47,602,2209,2.779596491,0,0,0,0,0,0,0,0,0,0,1,0
48,635,2304,2.802773725,0,0,0,0,0,0,0,0,0,0,0,1
49,677,2401,2.830588669,1,0,0,0,0,0,0,0,0,0,0,0
50,635,2500,2.802773725,0,1,0,0,0,0,0,0,0,0,0,0
51,736,2601,2.866877814,0,0,1,0,0,0,0,0,0,0,0,0
52,755,2704,2.877946952,0,0,0,1,0,0,0,0,0,0,0,0
53,811,2809,2.909020854,0,0,0,0,1,0,0,0,0,0,0,0
54,798,2916,2.902002891,0,0,0,0,0,1,0,0,0,0,0,0
55,735,3025,2.866287339,0,0,0,0,0,0,1,0,0,0,0,0
56,697,3136,2.843232778,0,0,0,0,0,0,0,1,0,0,0,0
57,661,3249,2.820201459,0,0,0,0,0,0,0,0,1,0,0,0
58,667,3364,2.824125834,0,0,0,0,0,0,0,0,0,1,0,0
59,645,3481,2.809559715,0,0,0,0,0,0,0,0,0,0,1,0
60,688,3600,2.837588438,0,0,0,0,0,0,0,0,0,0,0,1
61,713,3721,2.85308953,1,0,0,0,0,0,0,0,0,0,0,0
62,667,3844,2.824125834,0,1,0,0,0,0,0,0,0,0,0,0
63,762,3969,2.881954971,0,0,1,0,0,0,0,0,0,0,0,0
64,784,4096,2.894316063,0,0,0,1,0,0,0,0,0,0,0,0
65,837,4225,2.922725458,0,0,0,0,1,0,0,0,0,0,0,0
66,817,4356,2.912222057,0,0,0,0,0,1,0,0,0,0,0,0
67,767,4489,2.884795364,0,0,0,0,0,0,1,0,0,0,0,0
68,722,4624,2.858537198,0,0,0,0,0,0,0,1,0,0,0,0
69,681,4761,2.833147112,0,0,0,0,0,0,0,0,1,0,0,0
70,687,4900,2.836956737,0,0,0,0,0,0,0,0,0,1,0,0
71,660,5041,2.819543936,0,0,0,0,0,0,0,0,0,0,1,0
72,698,5184,2.843855423,0,0,0,0,0,0,0,0,0,0,0,1
73,717,5329,2.855519156,1,0,0,0,0,0,0,0,0,0,0,0
74,696,5476,2.84260924,0,1,0,0,0,0,0,0,0,0,0,0
75,775,5625,2.889301703,0,0,1,0,0,0,0,0,0,0,0,0
76,796,5776,2.900913068,0,0,0,1,0,0,0,0,0,0,0,0
77,858,5929,2.933487288,0,0,0,0,1,0,0,0,0,0,0,0
78,826,6084,2.916980047,0,0,0,0,0,1,0,0,0,0,0,0
79,783,6241,2.893761762,0,0,0,0,0,0,1,0,0,0,0,0
80,740,6400,2.86923172,0,0,0,0,0,0,0,1,0,0,0,0
81,701,6561,2.845718018,0,0,0,0,0,0,0,0,1,0,0,0
82,706,6724,2.848804701,0,0,0,0,0,0,0,0,0,1,0,0
83,677,6889,2.830588669,0,0,0,0,0,0,0,0,0,0,1,0
84,711,7056,2.851869601,0,0,0,0,0,0,0,0,0,0,0,1
85,734,7225,2.86569606,1,0,0,0,0,0,0,0,0,0,0,0
86,690,7396,2.838849091,0,1,0,0,0,0,0,0,0,0,0,0
87,785,7569,2.894869657,0,0,1,0,0,0,0,0,0,0,0,0
88,805,7744,2.90579588,0,0,0,1,0,0,0,0,0,0,0,0
89,871,7921,2.940018155,0,0,0,0,1,0,0,0,0,0,0,0
90,845,8100,2.926856709,0,0,0,0,0,1,0,0,0,0,0,0
91,801,8281,2.903632516,0,0,0,0,0,0,1,0,0,0,0,0
92,764,8464,2.883093359,0,0,0,0,0,0,0,1,0,0,0,0
93,725,8649,2.860338007,0,0,0,0,0,0,0,0,1,0,0,0
94,723,8836,2.859138297,0,0,0,0,0,0,0,0,0,1,0,0
95,690,9025,2.838849091,0,0,0,0,0,0,0,0,0,0,1,0
96,734,9216,2.86569606,0,0,0,0,0,0,0,0,0,0,0,1
97,750,9409,2.875061263,1,0,0,0,0,0,0,0,0,0,0,0
98,707,9604,2.849419414,0,1,0,0,0,0,0,0,0,0,0,0
99,807,9801,2.906873535,0,0,1,0,0,0,0,0,0,0,0,0
100,824,10000,2.915927212,0,0,0,1,0,0,0,0,0,0,0,0
101,886,10201,2.947433722,0,0,0,0,1,0,0,0,0,0,0,0
102,859,10404,2.933993164,0,0,0,0,0,1,0,0,0,0,0,0
103,819,10609,2.913283902,0,0,0,0,0,0,1,0,0,0,0,0
104,783,10816,2.893761762,0,0,0,0,0,0,0,1,0,0,0,0
105,740,11025,2.86923172,0,0,0,0,0,0,0,0,1,0,0,0
106,747,11236,2.873320602,0,0,0,0,0,0,0,0,0,1,0,0
107,711,11449,2.851869601,0,0,0,0,0,0,0,0,0,0,1,0
108,751,11664,2.875639937,0,0,0,0,0,0,0,0,0,0,0,1
109,804,11881,2.905256049,1,0,0,0,0,0,0,0,0,0,0,0
110,756,12100,2.878521796,0,1,0,0,0,0,0,0,0,0,0,0
111,860,12321,2.934498451,0,0,1,0,0,0,0,0,0,0,0,0
112,878,12544,2.943494516,0,0,0,1,0,0,0,0,0,0,0,0
113,942,12769,2.974050903,0,0,0,0,1,0,0,0,0,0,0,0
114,913,12996,2.960470778,0,0,0,0,0,1,0,0,0,0,0,0
115,869,13225,2.939019776,0,0,0,0,0,0,1,0,0,0,0,0
116,834,13456,2.921166051,0,0,0,0,0,0,0,1,0,0,0,0
117,790,13689,2.897627091,0,0,0,0,0,0,0,0,1,0,0,0
118,800,13924,2.903089987,0,0,0,0,0,0,0,0,0,1,0,0
119,763,14161,2.882524538,0,0,0,0,0,0,0,0,0,0,1,0
120,800,14400,2.903089987,0,0,0,0,0,0,0,0,0,0,0,1
121,826,14641,2.916980047,1,0,0,0,0,0,0,0,0,0,0,0
122,799,14884,2.902546779,0,1,0,0,0,0,0,0,0,0,0,0
123,890,15129,2.949390007,0,0,1,0,0,0,0,0,0,0,0,0
124,900,15376,2.954242509,0,0,0,1,0,0,0,0,0,0,0,0
125,961,15625,2.982723388,0,0,0,0,1,0,0,0,0,0,0,0
126,935,15876,2.970811611,0,0,0,0,0,1,0,0,0,0,0,0
127,894,16129,2.951337519,0,0,0,0,0,0,1,0,0,0,0,0
128,855,16384,2.931966115,0,0,0,0,0,0,0,1,0,0,0,0
129,809,16641,2.907948522,0,0,0,0,0,0,0,0,1,0,0,0
130,810,16900,2.908485019,0,0,0,0,0,0,0,0,0,1,0,0
131,766,17161,2.88422877,0,0,0,0,0,0,0,0,0,0,1,0
132,805,17424,2.90579588,0,0,0,0,0,0,0,0,0,0,0,1
133,821,17689,2.914343157,1,0,0,0,0,0,0,0,0,0,0,0
134,773,17956,2.888179494,0,1,0,0,0,0,0,0,0,0,0,0
135,883,18225,2.945960704,0,0,1,0,0,0,0,0,0,0,0,0
136,898,18496,2.953276337,0,0,0,1,0,0,0,0,0,0,0,0
137,957,18769,2.980911938,0,0,0,0,1,0,0,0,0,0,0,0
138,924,19044,2.965671971,0,0,0,0,0,1,0,0,0,0,0,0
139,881,19321,2.944975908,0,0,0,0,0,0,1,0,0,0,0,0
140,837,19600,2.922725458,0,0,0,0,0,0,0,1,0,0,0,0
141,784,19881,2.894316063,0,0,0,0,0,0,0,0,1,0,0,0
142,791,20164,2.898176483,0,0,0,0,0,0,0,0,0,1,0,0
143,760,20449,2.880813592,0,0,0,0,0,0,0,0,0,0,1,0
144,802,20736,2.904174368,0,0,0,0,0,0,0,0,0,0,0,1
145,828,21025,2.918030337,1,0,0,0,0,0,0,0,0,0,0,0
146,778,21316,2.890979597,0,1,0,0,0,0,0,0,0,0,0,0
147,889,21609,2.948901761,0,0,1,0,0,0,0,0,0,0,0,0
148,902,21904,2.955206538,0,0,0,1,0,0,0,0,0,0,0,0
149,969,22201,2.986323777,0,0,0,0,1,0,0,0,0,0,0,0
150,947,22500,2.976349979,0,0,0,0,0,1,0,0,0,0,0,0
151,908,22801,2.958085849,0,0,0,0,0,0,1,0,0,0,0,0
152,867,23104,2.938019097,0,0,0,0,0,0,0,1,0,0,0,0
153,815,23409,2.911157609,0,0,0,0,0,0,0,0,1,0,0,0
154,812,23716,2.909556029,0,0,0,0,0,0,0,0,0,1,0,0
155,773,24025,2.888179494,0,0,0,0,0,0,0,0,0,0,1,0
156,813,24336,2.910090546,0,0,0,0,0,0,0,0,0,0,0,1
157,834,24649,2.921166051,1,0,0,0,0,0,0,0,0,0,0,0
158,782,24964,2.893206753,0,1,0,0,0,0,0,0,0,0,0,0
159,892,25281,2.950364854,0,0,1,0,0,0,0,0,0,0,0,0
160,903,25600,2.95568775,0,0,0,1,0,0,0,0,0,0,0,0
161,966,25921,2.984977126,0,0,0,0,1,0,0,0,0,0,0,0
162,937,26244,2.971739591,0,0,0,0,0,1,0,0,0,0,0,0
163,896,26569,2.95230801,0,0,0,0,0,0,1,0,0,0,0,0
164,858,26896,2.933487288,0,0,0,0,0,0,0,1,0,0,0,0
165,817,27225,2.912222057,0,0,0,0,0,0,0,0,1,0,0,0
166,827,27556,2.91750551,0,0,0,0,0,0,0,0,0,1,0,0
167,797,27889,2.901458321,0,0,0,0,0,0,0,0,0,0,1,0
168,843,28224,2.925827575,0,0,0,0,0,0,0,0,0,0,0,1
